source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon
108104,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,22.78506063,3.59E-08,T of CH4 per VKT,812.1599692,km,,6.35E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108104,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,59110.30868,5.40E-09,,812.1599692,km,,6.35E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108104,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,57909.53599,5.40E-09,,812.1599692,km,,6.35E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108104,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,3.657683875,5.40E-09,T of N2O per VKT,841.8947377,km,,6.78E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108104,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,60066.41481,8.86E-05,T of CO2 per VKT,841.8947377,km,,6.78E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108104,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,24.31164977,3.59E-08,T of CH4 per VKT,841.8947377,km,,6.78E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108104,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,63070.67361,5.40E-09,,841.8947377,km,,6.78E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108104,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,61789.44967,5.40E-09,,841.8947377,km,,6.78E+08,vehicle km traveled (VKT),,,Lashio Urban Area in Lasho District,,22.95888345,97.74544284
108691,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,3.363295245,5.40E-09,T of N2O per VKT,639.9561989,km,,6.23E+08,vehicle km traveled (VKT),,,Pyin Oo Lwin Urban Area in Mandalay District,,22.03360641,96.47335331
108691,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,55231.97035,8.86E-05,T of CO2 per VKT,639.9561989,km,,6.23E+08,vehicle km traveled (VKT),,,Pyin Oo Lwin Urban Area in Mandalay District,,22.03360641,96.47335331
